reading samples from samples.dat, ignoring first 50
mean: -5.569226480596281
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.56922648e+00       2.510350e-04
     2            175       -5.56922648e+00       3.238247e-04
     5             70       -5.56922648e+00       4.183401e-04
    10             35       -5.56922648e+00       4.802005e-04
    20             17       -5.56917730e+00       5.724195e-04
    50              7       -5.56922648e+00       7.010865e-04
    70              5       -5.56922648e+00       6.186905e-04
   100              3       -5.56925800e+00       8.520301e-04
