reading samples from samples.dat, ignoring first 50
mean: -5.569701185540453
blocked statistics:
block size    # of blocks        mean                error
     1            450       -5.56970119e+00       1.666727e-04
     2            225       -5.56970119e+00       2.049580e-04
     5             90       -5.56970119e+00       2.611585e-04
    10             45       -5.56970119e+00       2.805740e-04
    20             22       -5.56971514e+00       3.283412e-04
    50              9       -5.56970119e+00       2.946860e-04
    70              6       -5.56962864e+00       3.820876e-04
   100              4       -5.56952903e+00       2.723785e-04
   200              2       -5.56952903e+00       1.889258e-04
