reading samples from samples.dat, ignoring first 50
mean: -119.84865679911404
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.19848657e+02       3.093652e-04
     2            475       -1.19848657e+02       3.478522e-04
     5            190       -1.19848657e+02       3.722721e-04
    10             95       -1.19848657e+02       3.883317e-04
    20             47       -1.19848657e+02       3.617829e-04
    50             19       -1.19848657e+02       4.709568e-04
    70             13       -1.19848658e+02       4.852377e-04
   100              9       -1.19848674e+02       4.944235e-04
   200              4       -1.19848724e+02       7.139338e-04
