reading samples from samples.dat, ignoring first 50
mean: -119.83823760034223
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.19838238e+02       4.823846e-04
     2            475       -1.19838238e+02       5.678233e-04
     5            190       -1.19838238e+02       6.543576e-04
    10             95       -1.19838238e+02       7.208181e-04
    20             47       -1.19838164e+02       8.495569e-04
    50             19       -1.19838238e+02       9.414599e-04
    70             13       -1.19838068e+02       8.862518e-04
   100              9       -1.19837962e+02       7.209619e-04
   200              4       -1.19837687e+02       1.003947e-03
