reading samples from samples.dat, ignoring first 50
mean: -73.89983967376418
blocked statistics:
block size    # of blocks        mean                error
     1            950       -7.38998397e+01       2.406586e-04
     2            475       -7.38998397e+01       2.764423e-04
     5            190       -7.38998397e+01       3.035362e-04
    10             95       -7.38998397e+01       3.200235e-04
    20             47       -7.38998070e+01       3.340467e-04
    50             19       -7.38998397e+01       3.246106e-04
    70             13       -7.38998626e+01       3.162036e-04
   100              9       -7.38998012e+01       3.925839e-04
   200              4       -7.39000074e+01       4.673404e-04
