reading samples from samples.dat, ignoring first 50
mean: -73.90218471921808
blocked statistics:
block size    # of blocks        mean                error
     1            950       -7.39021847e+01       5.729089e-04
     2            475       -7.39021847e+01       6.741749e-04
     5            190       -7.39021847e+01       8.320700e-04
    10             95       -7.39021847e+01       9.172403e-04
    20             47       -7.39021787e+01       9.885654e-04
    50             19       -7.39021847e+01       1.087270e-03
    70             13       -7.39026381e+01       7.712438e-04
   100              9       -7.39026991e+01       8.253322e-04
   200              4       -7.39025707e+01       1.408587e-03
