reading samples from samples.dat, ignoring first 50
mean: -73.90031757644316
blocked statistics:
block size    # of blocks        mean                error
     1            950       -7.39003176e+01       4.905079e-04
     2            475       -7.39003176e+01       5.762742e-04
     5            190       -7.39003176e+01       6.908250e-04
    10             95       -7.39003176e+01       7.560024e-04
    20             47       -7.39001905e+01       8.205058e-04
    50             19       -7.39003176e+01       9.797565e-04
    70             13       -7.39000395e+01       9.302137e-04
   100              9       -7.38999851e+01       8.592610e-04
   200              4       -7.39000713e+01       1.025019e-03
