reading samples from samples.dat, ignoring first 50
mean: -102.49927475120357
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.02499275e+02       2.244215e-04
     2            475       -1.02499275e+02       2.476112e-04
     5            190       -1.02499275e+02       2.657300e-04
    10             95       -1.02499275e+02       2.613763e-04
    20             47       -1.02499283e+02       2.634977e-04
    50             19       -1.02499275e+02       2.657192e-04
    70             13       -1.02499135e+02       2.370179e-04
   100              9       -1.02499169e+02       2.910744e-04
   200              4       -1.02499076e+02       3.482809e-04
