reading samples from samples.dat, ignoring first 50
mean: -139.4054212235665
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.39405421e+02       5.506251e-04
     2            475       -1.39405421e+02       6.398598e-04
     5            190       -1.39405421e+02       7.701133e-04
    10             95       -1.39405421e+02       8.402260e-04
    20             47       -1.39405415e+02       1.014753e-03
    50             19       -1.39405421e+02       1.286317e-03
    70             13       -1.39405062e+02       1.406743e-03
   100              9       -1.39405041e+02       1.667782e-03
   200              4       -1.39404980e+02       2.071201e-03
