reading samples from samples.dat, ignoring first 50
mean: -5.197140828701506
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.19714083e+00       2.433031e-04
     2            175       -5.19714083e+00       3.170311e-04
     5             70       -5.19714083e+00       4.135833e-04
    10             35       -5.19714083e+00       4.851946e-04
    20             17       -5.19722581e+00       5.515757e-04
    50              7       -5.19714083e+00       4.515658e-04
    70              5       -5.19714083e+00       2.981662e-04
   100              3       -5.19715771e+00       2.185944e-04
