reading samples from samples.dat, ignoring first 50
mean: -5.154206305058568
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.15420631e+00       1.036554e-03
     2            175       -5.15420631e+00       1.240809e-03
     5             70       -5.15420631e+00       1.561400e-03
    10             35       -5.15420631e+00       1.870215e-03
    20             17       -5.15409500e+00       2.300415e-03
    50              7       -5.15420631e+00       2.400761e-03
    70              5       -5.15420631e+00       2.131176e-03
   100              3       -5.15377889e+00       1.280099e-03
