reading samples from samples.dat, ignoring first 50
mean: -5.199067649209279
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.19906765e+00       2.559528e-03
     2            175       -5.19906765e+00       2.989304e-03
     5             70       -5.19906765e+00       3.894747e-03
    10             35       -5.19906765e+00       4.922544e-03
    20             17       -5.19917900e+00       6.085605e-03
    50              7       -5.19906765e+00       7.123669e-03
    70              5       -5.19906765e+00       8.069042e-03
   100              3       -5.19995211e+00       1.362246e-02
