reading samples from samples.dat, ignoring first 50
mean: -5.1755870779648605
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.17558708e+00       4.034248e-04
     2            175       -5.17558708e+00       5.083694e-04
     5             70       -5.17558708e+00       6.476742e-04
    10             35       -5.17558708e+00       7.655251e-04
    20             17       -5.17540523e+00       9.465584e-04
    50              7       -5.17558708e+00       1.182818e-03
    70              5       -5.17558708e+00       1.100153e-03
   100              3       -5.17524499e+00       1.134951e-04
