reading samples from samples.dat, ignoring first 50
mean: -102.55291951270989
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.02552920e+02       2.524291e-04
     2            475       -1.02552920e+02       2.864537e-04
     5            190       -1.02552920e+02       3.228880e-04
    10             95       -1.02552920e+02       3.216094e-04
    20             47       -1.02552894e+02       2.862077e-04
    50             19       -1.02552920e+02       3.156257e-04
    70             13       -1.02552925e+02       2.976688e-04
   100              9       -1.02552959e+02       3.029184e-04
   200              4       -1.02552974e+02       3.911599e-04
