reading samples from samples.dat, ignoring first 50
mean: -102.5496163239843
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.02549616e+02       3.029075e-04
     2            475       -1.02549616e+02       3.393552e-04
     5            190       -1.02549616e+02       3.695957e-04
    10             95       -1.02549616e+02       3.823036e-04
    20             47       -1.02549699e+02       3.809654e-04
    50             19       -1.02549616e+02       3.903492e-04
    70             13       -1.02549755e+02       4.572097e-04
   100              9       -1.02549793e+02       3.984676e-04
   200              4       -1.02549892e+02       5.699349e-04
