reading samples from samples.dat, ignoring first 50
mean: -102.55319475127996
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.02553195e+02       2.393903e-04
     2            475       -1.02553195e+02       2.622731e-04
     5            190       -1.02553195e+02       2.805506e-04
    10             95       -1.02553195e+02       2.858740e-04
    20             47       -1.02553203e+02       3.043092e-04
    50             19       -1.02553195e+02       3.313478e-04
    70             13       -1.02553283e+02       2.726158e-04
   100              9       -1.02553301e+02       1.946016e-04
   200              4       -1.02553373e+02       2.161515e-04
