reading samples from samples.dat, ignoring first 50
mean: -102.5419178155939
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.02541918e+02       4.576907e-04
     2            475       -1.02541918e+02       5.370880e-04
     5            190       -1.02541918e+02       6.371221e-04
    10             95       -1.02541918e+02       6.636644e-04
    20             47       -1.02541817e+02       6.816774e-04
    50             19       -1.02541918e+02       6.780377e-04
    70             13       -1.02541916e+02       6.814351e-04
   100              9       -1.02541734e+02       8.247763e-04
   200              4       -1.02541943e+02       1.130615e-03
