reading samples from samples.dat, ignoring first 50
mean: -102.54297948373714
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.02542979e+02       9.947940e-04
     2            475       -1.02542979e+02       1.126895e-03
     5            190       -1.02542979e+02       1.414991e-03
    10             95       -1.02542979e+02       1.354341e-03
    20             47       -1.02543009e+02       1.417562e-03
    50             19       -1.02542979e+02       1.599739e-03
    70             13       -1.02542844e+02       1.764196e-03
   100              9       -1.02541838e+02       1.191971e-03
   200              4       -1.02541940e+02       1.852441e-03
