reading samples from samples.dat, ignoring first 50
mean: -102.52316022610475
blocked statistics:
block size    # of blocks        mean                error
     1            450       -1.02523160e+02       4.266488e-04
     2            225       -1.02523160e+02       4.295212e-04
     5             90       -1.02523160e+02       4.553588e-04
    10             45       -1.02523160e+02       4.732038e-04
    20             22       -1.02523290e+02       5.167980e-04
    50              9       -1.02523160e+02       5.254382e-04
    70              6       -1.02523452e+02       5.939863e-04
   100              4       -1.02523473e+02       6.858497e-04
   200              2       -1.02523473e+02       1.392055e-03
