reading samples from samples.dat, ignoring first 50
mean: -102.49791295151311
blocked statistics:
block size    # of blocks        mean                error
     1            450       -1.02497913e+02       7.504579e-04
     2            225       -1.02497913e+02       9.350458e-04
     5             90       -1.02497913e+02       1.169363e-03
    10             45       -1.02497913e+02       1.372258e-03
    20             22       -1.02498149e+02       1.629920e-03
    50              9       -1.02497913e+02       2.035985e-03
    70              6       -1.02498251e+02       2.670279e-03
   100              4       -1.02497896e+02       2.960549e-03
   200              2       -1.02497896e+02       3.509654e-03
