reading samples from samples.dat, ignoring first 50
mean: -102.52476331763609
blocked statistics:
block size    # of blocks        mean                error
     1            450       -1.02524763e+02       5.748709e-04
     2            225       -1.02524763e+02       6.139508e-04
     5             90       -1.02524763e+02       6.684745e-04
    10             45       -1.02524763e+02       7.017497e-04
    20             22       -1.02524696e+02       6.388654e-04
    50              9       -1.02524763e+02       7.005369e-04
    70              6       -1.02524369e+02       7.938681e-04
   100              4       -1.02524342e+02       9.643990e-04
   200              2       -1.02524342e+02       1.801738e-03
