reading samples from samples_test.dat, ignoring first 50
mean: -102.52666547909499
blocked statistics:
block size    # of blocks        mean                error
     1            161       -1.02526665e+02       6.793098e-04
     2             80       -1.02526526e+02       7.389288e-04
     5             32       -1.02526526e+02       8.701883e-04
    10             16       -1.02526526e+02       8.858841e-04
    20              8       -1.02526526e+02       9.673298e-04
    50              3       -1.02526442e+02       6.946447e-04
    70              2       -1.02526179e+02       8.782103e-04
