reading samples from samples.dat, ignoring first 50
mean: -26.715443378421007
blocked statistics:
block size    # of blocks        mean                error
     1            450       -2.67154434e+01       1.542087e-04
     2            225       -2.67154434e+01       1.998520e-04
     5             90       -2.67154434e+01       2.829889e-04
    10             45       -2.67154434e+01       3.526960e-04
    20             22       -2.67153275e+01       3.778033e-04
    50              9       -2.67154434e+01       5.572726e-04
    70              6       -2.67153333e+01       7.726787e-04
   100              4       -2.67152319e+01       7.618813e-04
   200              2       -2.67152319e+01       1.179862e-03
