reading samples from samples.dat, ignoring first 50
mean: -5.466640885110005
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.46664089e+00       4.694185e-04
     2            175       -5.46664089e+00       5.826796e-04
     5             70       -5.46664089e+00       7.559013e-04
    10             35       -5.46664089e+00       9.232336e-04
    20             17       -5.46654125e+00       1.208511e-03
    50              7       -5.46664089e+00       8.809285e-04
    70              5       -5.46664089e+00       1.171886e-03
   100              3       -5.46653942e+00       4.179989e-04
