User:
anma2640
Hostname:
bhpc-c7-u7-15.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Sun Jan 23 20:27:14 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Fri Jan 14 23:55:05 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "uhf",
        "lef": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "50",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Initial state energy:  (-5.3147713,0)
Number of Cholesky vectors: 249
Using truncated Cholesky with 124 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.3156867,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
    50     1.250e+01       -5.40353e+00     1.79343e+03      -5.477208134e+00        -5.477399867e+00        8.30e+01 
    51     1.275e+01       -5.40587e+00     1.79364e+03      -5.475813214e+00        -5.477267633e+00        8.47e+01 
    52     1.300e+01       -5.40884e+00     1.79391e+03      -5.478363287e+00        -5.477351934e+00        8.63e+01 
    53     1.325e+01       -5.40039e+00     1.79314e+03      -5.477036836e+00        -5.477329431e+00        8.79e+01 
    54     1.350e+01       -5.39702e+00     1.79283e+03      -5.480665666e+00        -5.477551773e+00        8.95e+01 
    55     1.375e+01       -5.40286e+00     1.79332e+03      -5.481548805e+00        -5.477801574e+00        9.11e+01 
    56     1.400e+01       -5.40128e+00     1.79314e+03      -5.479698808e+00        -5.477913160e+00        9.28e+01 
    57     1.425e+01       -5.39590e+00     1.79264e+03      -5.481593055e+00        -5.478117517e+00        9.44e+01 
    58     1.450e+01       -5.40091e+00     1.79306e+03      -5.481843738e+00        -5.478313602e+00        9.60e+01 
    59     1.475e+01       -5.40516e+00     1.79340e+03      -5.479834236e+00        -5.478389637e+00        9.76e+01 
    60     1.500e+01       -5.40095e+00     1.79302e+03      -5.477694360e+00        -5.478356534e+00        9.92e+01 
    61     1.525e+01       -5.39657e+00     1.79263e+03      -5.475334355e+00        -5.478219213e+00        1.01e+02 
    62     1.550e+01       -5.40111e+00     1.79307e+03      -5.477415681e+00        -5.478184281e+00        1.02e+02 
    63     1.575e+01       -5.40989e+00     1.79386e+03      -5.479449018e+00        -5.478236995e+00        1.04e+02 
    64     1.600e+01       -5.39966e+00     1.79293e+03      -5.480786357e+00        -5.478338949e+00        1.06e+02 
    65     1.625e+01       -5.40396e+00     1.79330e+03      -5.480492096e+00        -5.478421762e+00        1.08e+02 
    66     1.650e+01       -5.40366e+00     1.79325e+03      -5.477831061e+00        -5.478399885e+00        1.09e+02 
    67     1.675e+01       -5.38690e+00     1.79176e+03      -5.478684004e+00        -5.478410024e+00        1.11e+02 
    68     1.700e+01       -5.40796e+00     1.79365e+03      -5.482124804e+00        -5.478538148e+00        1.13e+02 
    69     1.725e+01       -5.40581e+00     1.79342e+03      -5.481124382e+00        -5.478624363e+00        1.14e+02 
    70     1.750e+01       -5.41021e+00     1.79380e+03      -5.476841427e+00        -5.478566832e+00        1.16e+02 
    71     1.775e+01       -5.39192e+00     1.79218e+03      -5.477262069e+00        -5.478526083e+00        1.17e+02 
    72     1.800e+01       -5.41360e+00     1.79414e+03      -5.479328233e+00        -5.478550402e+00        1.19e+02 
    73     1.825e+01       -5.40755e+00     1.79359e+03      -5.475814600e+00        -5.478469923e+00        1.21e+02 
    74     1.850e+01       -5.40346e+00     1.79325e+03      -5.476970443e+00        -5.478427082e+00        1.22e+02 
    75     1.875e+01       -5.39798e+00     1.79278e+03      -5.479515932e+00        -5.478457319e+00        1.24e+02 
    76     1.900e+01       -5.39558e+00     1.79255e+03      -5.479562592e+00        -5.478487180e+00        1.26e+02 
    77     1.925e+01       -5.40193e+00     1.79311e+03      -5.475999501e+00        -5.478421719e+00        1.27e+02 
    78     1.950e+01       -5.41313e+00     1.79414e+03      -5.476064145e+00        -5.478361239e+00        1.29e+02 
    79     1.975e+01       -5.39152e+00     1.79222e+03      -5.474885343e+00        -5.478274391e+00        1.30e+02 
    80     2.000e+01       -5.40748e+00     1.79368e+03      -5.475676093e+00        -5.478211003e+00        1.32e+02 
    81     2.025e+01       -5.41319e+00     1.79421e+03      -5.476587732e+00        -5.478172333e+00        1.34e+02 
    82     2.050e+01       -5.40973e+00     1.79391e+03      -5.477278131e+00        -5.478151531e+00        1.35e+02 
    83     2.075e+01       -5.39940e+00     1.79299e+03      -5.479453368e+00        -5.478181113e+00        1.37e+02 
    84     2.100e+01       -5.39863e+00     1.79290e+03      -5.479808867e+00        -5.478217278e+00        1.39e+02 
    85     2.125e+01       -5.39779e+00     1.79281e+03      -5.482045694e+00        -5.478300483e+00        1.41e+02 
    86     2.150e+01       -5.40199e+00     1.79315e+03      -5.480380556e+00        -5.478344737e+00        1.42e+02 
    87     2.175e+01       -5.40656e+00     1.79354e+03      -5.483278486e+00        -5.478447539e+00        1.44e+02 
    88     2.200e+01       -5.40346e+00     1.79322e+03      -5.480851319e+00        -5.478496594e+00        1.45e+02 
    89     2.225e+01       -5.39673e+00     1.79260e+03      -5.480999011e+00        -5.478546624e+00        1.47e+02 
    90     2.250e+01       -5.38765e+00     1.79177e+03      -5.483700228e+00        -5.478647593e+00        1.49e+02 
    91     2.275e+01       -5.40658e+00     1.79342e+03      -5.481975903e+00        -5.478711606e+00        1.50e+02 
    92     2.300e+01       -5.40169e+00     1.79297e+03      -5.479000759e+00        -5.478717061e+00        1.53e+02 
    93     2.325e+01       -5.40044e+00     1.79286e+03      -5.477029362e+00        -5.478685814e+00        1.54e+02 
    94     2.350e+01       -5.39962e+00     1.79281e+03      -5.473460440e+00        -5.478590828e+00        1.56e+02 
    95     2.375e+01       -5.39769e+00     1.79270e+03      -5.475972860e+00        -5.478544091e+00        1.57e+02 
    96     2.400e+01       -5.38960e+00     1.79200e+03      -5.475853663e+00        -5.478496922e+00        1.59e+02 
    97     2.425e+01       -5.40062e+00     1.79301e+03      -5.477446733e+00        -5.478478817e+00        1.61e+02 
    98     2.450e+01       -5.39642e+00     1.79264e+03      -5.478139791e+00        -5.478473072e+00        1.62e+02 
    99     2.475e+01       -5.39213e+00     1.79226e+03      -5.478874254e+00        -5.478479755e+00        1.64e+02 
   100     2.500e+01       -5.41155e+00     1.79400e+03      -5.476917903e+00        -5.478454139e+00        1.66e+02 
   101     2.525e+01       -5.40582e+00     1.79350e+03      -5.475316785e+00        -5.478403528e+00        1.67e+02 
   102     2.550e+01       -5.39391e+00     1.79245e+03      -5.473479617e+00        -5.478325401e+00        1.69e+02 
   103     2.575e+01       -5.38913e+00     1.79207e+03      -5.470266285e+00        -5.478199553e+00        1.71e+02 
