reading samples from samples.dat, ignoring first 50
mean: -5.476579027693699
blocked statistics:
block size    # of blocks        mean                error
     1            350       -5.47657903e+00       7.103633e-05
     2            175       -5.47657903e+00       8.502327e-05
     5             70       -5.47657903e+00       1.077381e-04
    10             35       -5.47657903e+00       1.274555e-04
    20             17       -5.47658146e+00       1.636628e-04
    50              7       -5.47657903e+00       1.798998e-04
    70              5       -5.47657903e+00       2.125562e-04
   100              3       -5.47662499e+00       3.005233e-04
